Incident No.,Inclusion Criteria I,Inclusion Criteria II,Source Incident Detection/Disclosure,Source Incident Detection/Disclosure II,Start Date (Year),Start Date (Month),Start Date (Date),End Date (Year),End Date (Month),End Date (Date),Receiver Category I,Receiver Category II,Receiver Category III,Receiver Category IV,Receiver Category V,Receiver Category VI,Receiver Category VII,Receiver Category VIII,Receiver Category IX,Receiver Category X,Receiver Country I,Receiver Country II,Receiver Country III,Receiver Country IV,Receiver Country V,Receiver Country VI,Receiver Country VII,Receiver Country VIII,Receiver Country IX,Receiver Country X,Receiver Regime Type I,Receiver Regime Type II,Receiver Regime Type III,Initiator Category,Name Initiator,Name Initiator II,Initiator Country I,Initiator Country II,Initiator Country III,Initiator Country IV,Initiator Country V,Initiator Regime Type I,Initiator Regime Type II,Attribution Year,Political/Legal Response Year,Attribution Basis I,Attribution Type I,Attribution Basis II,Attribution Type II,Attribution Basis III,Attribution Type III,Attribution Basis IV,Attribution Type IV,Attribution IT-Security Community (category) I,Attribution IT-Security Community (category) II,Attribution IT-Security Community (country) I,Attribution IT-Security Community (country) II,Country of Origin: IT Attribution I,Country of Origin: IT Attribution II,Temporal Attribution Sequence,Cyber-Conflict Issue I,Cyber-Conflict Issue II,Cyber-Conflict Issue III,Cyber-Conflict Issue IV,Offline-Conflict (Intensity) - HIIK,Offline-Conflict (Issue) - HIIK I,Offline-Conflict (Issue) - HIIK II,Offline-Conflict (Issue) - HIIK III,Offline-Conflict (Issue) - HIIK IV,Zero Day(s),Incident Type I,Incident Type II,Incident Type III,Data Theft,Disruption,Hijacking (accessing and controlling a system),Physical Effects (spatial),Physical Effects (temporal),Unweigthed Cyber Intensity,Target/effect multiplier,Weighted Cyber Intensity,Casualties,Sources,Sources Attribution,Sources Politicization,Incident Name,Description
959,1,na,2,na,2017,na,na,2017,na,na,3.1,3.5,3.9,8,na,na,na,na,na,na,RUS,EGY,IRN,na,na,na,na,na,na,na,3,na,na,1,NSA/Equation Group,na,USA,na,na,na,na,1,na,2018,na,0,2,2,5,na,na,na,na,0,na,0,na,RUS,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://securelist.com/darkpulsar/88199/https://securelist.com/darkpulsar-faq/88233/,https://www.zdnet.com/article/kaspersky-says-it-detected-infections-with-darkpulsar-alleged-nsa-malware/,na,Darkpulsar,The NSA conducted a major hijacking operation against various asian targets
960,2.1,10,2,na,2017,na,na,2019,na,na,1,3.1,3.3,3.4,3.8,5,na,na,na,na,USA,BRA,CHN,FRA,DEU,ITA,MEX,ESP,PRT,GBR,1,2,na,2,APT 20,na,CHN,na,na,na,na,3,na,2019,na,2,5,na,na,na,na,na,na,2,na,CHN,na,NLD,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://resources.fox-it.com/rs/170-CAK-271/images/201912_Report_Operation_Wocao.pdf,na,na,Operation Wocao,"An unknown actor with direct ties to the Chinese government leveraged malware deposited by other threatactors, to gain access to high-level networks in various countries"
961,2.1,na,5,na,2017,na,na,2017,12,1,5,na,na,na,na,na,na,na,na,na,KOR,na,na,na,na,na,na,na,na,na,1,na,na,0,Lazarus/Hidden Cobra/Andariel,Reconnaissance Genera Bureau,PRK,na,na,na,na,3,na,na,na,6,3,na,na,na,na,na,na,na,na,na,na,na,na,na,1,7,11,na,2,1,7,10,na,1,3,na,na,0,0,2,0,0,2,1,2,0,https://www.bloomberg.com/news/articles/2018-01-02/north-korean-hackers-hijack-computers-to-mine-cryptocurrencies,na,na,Lazarus Bitcoin Hijack,The APT Lazarus hijacked south-Korean servers to run cryptocoin miners
962,2,na,2,na,2017,na,na,2018,na,na,4.7,6,7,na,na,na,na,na,na,na,KOR,na,na,na,na,na,na,na,na,na,1,na,na,0,Sun Team,na,0,na,na,na,na,3,na,na,na,2,5,na,na,na,na,na,na,0,na,0,na,USA,na,na,1,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,"https://www.cyberscoop.com/new-hacking-campaign-targets-north-korean-defectors-in-south-korea/,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/north-korean-defectors-journalists-targeted-using-social-networks-kakaotalk/",na,na,SunTeam Kakao Hack,"The actor SunTeam, attributed to be North Korean, hacked the devices of northKorean defectors and of journalists in South Korea to access the saved data"
963,4,10,2,na,2017,na,na,2018,na,na,1,6,na,na,na,na,na,na,na,na,CASIA,AFG,na,na,na,na,na,na,na,na,3,na,na,0,DustSquad/Nomadic Octopus,APT-C-34/Golden Falcon,RUS,na,na,na,na,3,na,na,na,2,5,na,na,na,na,na,na,0,na,RUS,na,RUS,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://securityaffairs.co/wordpress/77165/apt/russia-linked-apt-dustsquad.html; https://securelist.com/octopus-infested-seas-of-central-asia/88200/,na,na,Octopus infected Seas of Central Asia,Octopus infected Seas of Central Asia
964,2.1,3,3,na,2017,na,na,2018,na,na,1.8,1.11,na,na,na,na,na,na,na,na,FRA,na,na,na,na,na,na,na,na,na,2,na,na,1,Sofacy/APT 28/Fancy Bear,na,RUS,na,na,na,na,3,na,2017,2020,2,3,5,7,na,na,na,na,2,na,RUS,na,USA,na,na,0,na,na,na,0,0,na,na,na,1,1.1,na,na,1,0,0,0,0,1,1,1,0,https://www.bbc.com/news/blogs-trending-39845105,https://www.justice.gov/opa/pr/six-russian-gru-officers-charged-connection-worldwide-deployment-destructive-malware-and  https://www.cyberscoop.com/researchers-link-macron-hack-to-apt28-with-moderate-confidence/,na,Macron Leaks,Fancy Bear leaked Mails of the Macron French Presidential Campaign with the goal of influencing the French elections
965,10,na,2,na,2017,na,na,2018,na,na,1.1,3,na,na,na,na,na,na,na,na,SAU,UAE,QAT,KWT,OMN,BHR,na,na,na,na,3,na,na,3.6,The White Company/Bahamut,Windshift,0,na,na,na,na,0,na,na,na,2,5,na,na,na,na,na,na,3.6,na,0,na,ARE,USA,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://www.forbes.com/sites/thomasbrewster/2018/08/30/apple-mac-loophole-breached-in-middle-east-hacks/?sh=4ced62216fd6; https://gsec.hitb.org/materials/sg2018/D1%20COMMSEC%20-%20In%20the%20Trails%20of%20WINDSHIFT%20APT%20-%20Taha%20Karim.pdf,https://www.blackberry.com/us/en/pdfviewer?file=/content/dam/blackberry-com/asset/enterprise/pdf/direct/report-spark-bahamut.pdf,na,Windshift,The threatactor Windshift (likely connected to the WhiteCompany and Bahamut) attacked some specific individuals with long-term social-engineering attacks. The goal was likely credential theft
966,2.1,na,2,na,2017,na,na,2018,na,na,1.1,3.3,3.4,3.5,3.6,3.8,3.9,5,8,na,VNM,JPN,MEA,na,na,na,na,na,na,na,1,3,na,2,Reaper/APT 37,Group123,PRK,na,na,na,na,3,na,2018,na,2,5,na,na,na,na,na,na,2,na,PRK,na,USA,na,na,7,na,na,na,0,0,na,na,na,2.1,1,3,na,1,0,2,0,0,3,1,3,0,https://www2.fireeye.com/rs/848-DID-242/images/rpt_APT37.pdf,https://www2.fireeye.com/rs/848-DID-242/images/rpt_APT37.pdf,na,Reaper vs. Japan/Vietnam/Middle East,"North Korean Proxy Reaper expanded its focus on japanese and vietnamese targets, as well as companies from the Middle East."
967,2.1,na,5,na,2017,na,na,2017,na,na,5,na,na,na,na,na,na,na,na,na,USA,SWE,DEU,LTU,na,na,na,na,na,na,1,na,na,2,MSS supported Hackers,na,CHN,na,na,na,na,3,na,2020,2020,6,7,na,na,na,na,na,na,na,na,na,na,na,na,na,7,na,na,na,2,1,7,na,na,1,1,3,na,2,0,2,0,0,4,1,4,0,https://www.justice.gov/opa/press-release/file/1295981/download,na,na,MSS 2020 Indictment Case 2017,"MSS supported hackers have stolen sensitive data by different companies and research entities in the US, Europe and Korea in 2017, according to a 2020 indictment."
968,2,4,3,na,2017,1,na,2017,1,na,1.1,na,na,na,na,na,na,na,na,na,THA,na,na,na,na,na,na,na,na,na,3,na,na,3,Anonymous,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,1.1,na,na,1,0,0,0,0,1,1,1,0,https://www.hackread.com/anonymous-hacks-thai-govt-job-portal/,https://www.hackread.com/anonymous-hacks-thai-govt-job-portal/,na,Anonymous vs. Thai Government,Anonymous hacks Thai Gov’t job portal; leaks a trove of data
969,1,4,0,na,2017,na,na,2017,na,na,1.5,2,na,na,na,na,na,na,na,na,NATO,na,na,na,na,na,na,na,na,na,1,na,na,1,0,na,RUS,na,na,na,na,3,na,2017,na,6,4,na,na,na,na,na,na,na,na,na,na,na,na,na,7,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://koddos.net/blog/russia-hacks-nato-soldiers-smartphones/,https://www.hackread.com/smartphones-nato-soldiers-compromised-russian-hackers/; https://nypost.com/2017/10/04/russia-has-been-hacking-smartphones-of-nato-troops/,na,NATO Smartphone Hack,Russia managed to hack into at least 4000 NATO soldiers’ personal smartphones to obtain military information.
970,10,na,2,na,2017,na,na,2018,na,na,3.6,3.9,na,na,na,na,na,na,na,na,USA, SEA,na,na,na,na,na,na,na,na,1,na,na,0,Thrip,na,CHN,na,na,na,na,3,na,na,na,2,5,na,na,na,na,na,na,0,na,CHN,na,USA,na,na,7,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,"https://www.globaldots.com/china-based-cyber-espionage-campaign-targets-satellite-telecom-defense-firms/
https://www.cnet.com/news/china-based-espionage-campaign-targets-satellite-defense-companies/",https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/thrip-hits-satellite-telecoms-defense-targets,na,Thrip17,"A group of hackers traced to China are waging a sophisticated cyberespionage campaign against satellite operators, telecommunication companies and defense contractors in the US and Southeast Asia"
971,2.1,3,2,na,2017,na,na,2017,na,na,5,na,na,na,na,na,na,na,na,na,VNM,na,na,na,na,na,na,na,na,na,3,na,na,2,Conimes,Hellsing,CHN,na,na,na,na,3,na,2017,na,2,3,na,na,na,na,na,na,2,na,CHN,na,USA,na,na,4,7,na,na,3,4,6,7,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://uk.news.yahoo.com/chinese-cyber-spies-broaden-attacks-060012176.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZWNvc2lhLm9yZy8&guce_referrer_sig=AQAAAI51TlzFEguYoweSQ0aPp8xDP4-ZNoxVTn3SQHFuUweFUTbihGpG9RkidmCCmIr_bmMCIu2-yOm3WW13rbFhzbjqlei_BJcx-gUXPpkkiHJtUxyxFycamZ4SpWDN6doKYSSRu_47X9Csi5s_XoAuTt0n9JhP6TBetNC0zUVY1bcf,https://www.reuters.com/article/us-vietnam-china-cyber-idUSKCN1BB0I5,na,Conimes,"Cyberspies working for or on behalf of China's government have broadened attacks against official and corporate targets in Vietnam at a time of raised tension over the South China Sea, cyber security company Fire Eye said."
972,1,6,2,na,2017,na,na,2017,na,na,3.5,na,na,na,na,na,na,na,na,na,SAU,na,na,na,na,na,na,na,na,na,3,na,na,1,Temp.Veles,na,RUS,na,na,na,na,3,na,2017,2020,0,2,2,5,4,0,5,7,1,na,RUS,na,USA,na,na,0,na,na,na,0,0,na,na,na,1,2,3,na,0,1,2,0,0,3,1,3,0,https://www.theguardian.com/technology/2017/dec/15/triton-hackers-malware-attack-safety-systems-energy-plant; https://www.reuters.com/article/us-cyber-infrastructure-attack/hackers-halt-plant-operations-in-watershed-cyber-attack-idUSKBN1E8271;  https://www.nytimes.com/2018/03/15/technology/saudi-arabia-hacks-cyberattacks.html?mtrref=undefined,https://www.fireeye.com/blog/threat-research/2017/12/attackers-deploy-new-ics-attack-framework-triton.html; https://www.fireeye.com/blog/threat-research/2018/10/triton-attribution-russian-government-owned-lab-most-likely-built-tools.html; https://home.treasury.gov/news/press-releases/sm1162; https://www.nytimes.com/2018/03/15/technology/saudi-arabia-hacks-cyberattacks.html?mtrref=undefined,https://home.treasury.gov/news/press-releases/sm1162,Triton (GroupTEMP.VelesakaXenotime),"Attackers, believed to work for a nationstate, used malware–called Triton–to infiltrate a safety system for operations in critical infrastructure organizations. After initial allegations towards Iran, Fireeye reported in 2018, that it is highly likely, that the state-owned Russian Science Institute CNIIHM developed the malware."
973,2.1,4,3,na,2017,1,na,2017,1,na,1.5,na,na,na,na,na,na,na,na,na,IND,na,na,na,na,na,na,na,na,na,1,na,na,2,Alone Injector,ISI,PAK,na,na,na,na,2,na,2017,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,4,7,na,3,4,6,7,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://timesofindia.indiatimes.com/india/national-security-guard-website-hacked-defaced-with-abusive-message-against-pm-modi/articleshow/56280790.cms,na,na,Pakistan vs. Indian Security Guard Website,"Hackers suspected to be affiliated with Pakistan attacked the website of the elite National Security Guard (NSG), defacing the homepage with a profanity laden message against Prime Minister Modi."
974,2,na,3,na,2017,1,na,2017,1,na,3.3,na,na,na,na,na,na,na,na,na,PAK,na,na,na,na,na,na,na,na,na,2,na,na,3.3,Mallu Cyber Soldiers,na,IND,na,na,na,na,1,na,na,na,3,3,na,na,na,na,na,na,na,na,na,na,na,na,na,1,4,7,na,3,4,6,7,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.dailymail.co.uk/indiahome/indianews/article-4082644/The-India-Pakistan-cyber-war-intensifies-retaliatory-ransomware-attack-cripples-websites-Islamabad-Multan-Karachi-airports.html,na,na,Indian Revenge: Ransomware against Pakistani Airports,"Indian hackers claimed to have infected three Pakistani Airports with ransomware, as a revenge action after the defacement of the Indian Security Guard Website."
975,1,4,3,na,2017,na,na,2017,na,na,2,na,na,na,na,na,na,na,na,na,UNO,na,na,na,na,na,na,na,na,na,1,na,na,1,Sofacy/APT 28/Fancy Bear,na,RUS,na,na,na,na,3,na,2017,na,6,4,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1.1,na,na,1,0,0,0,0,1,1,1,0,https://www.politico.eu/article/russian-hackers-fancy-bear-behind-leak-of-un-diplomats-email-report/,https://www.bild.de/politik/inland/hacker/fuehren-deutschen-top-diplomaten-vor-53910162.bild.html?wt_eid=2147080677200839578&wt_t=2151118029200488870,na,Fancy Bear UN-Mail Leak,The Russian APT Fancy Bear leaked E-Mails of UN Staff
976,2.1,na,2,na,2017,1,na,2017,1,na,0,na,na,na,na,na,na,na,na,na,MENA,na,na,na,na,na,na,na,na,na,0,na,na,2,Cobalt Gypsy,na,IRN,na,na,na,na,3,na,2017,na,2,5,na,na,na,na,na,na,2,na,IRN,na,USA,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://www.secureworks.com/blog/iranian-pupyrat-bites-middle-eastern-organizations,https://www.secureworks.com/blog/iranian-pupyrat-bites-middle-eastern-organizations,na,Pupy RAT,"Iranian PupyRAT Bites Middle Eastern Organizations, closely related or working on behalf of Magic Hound (Palo Alto) APT 35 (Mandiant) Cobalt Gypsy (Secure Works)RocketKitten (CrowdStrike)"
977,2.1,10,2,na,2017,1,na,2017,12,na,3.3,3.6,5,na,na,na,na,na,na,na,ISR,JOR,ARE,SAU,TUR,na,na,na,na,na,1,2,3,2.1,Chafer/APT 39,na,IRN,na,na,na,na,3,na,2018,na,2,5,na,na,na,na,na,na,2.1,na,IRN,na,USA,na,na,7,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://www.symantec.com/blogs/threat-intelligence/chafer-latest-attacks-reveal-heightened-ambitions?SID=86151X1538609X92fba9ea2ae860e8e0dfe5d0fdc6793a&API1=100&API2=7887077&cjid=7887077&cjevent=415f80e0e04111e9811400500a18050ehttps://www.ibtimes.co.uk/chafer-iranian-hacking-group-expands-attacks-spying-operations-airline-firms-middle-east-1664568,na,na,Chafer 2.0,Iran-based group Chafer remains highly active and is moving up the telecoms and transport supply chain to facilitate widescale surveillance of targets. One of the tools used by Chafer was the EternalBlue exploit that was previously deployed in the devastating WannaCry and Petya attacks.
978,2.1,na,2,na,2017,1,na,2017,12,na,6,na,na,na,na,na,na,na,na,na,IRN,na,na,na,na,na,na,na,na,na,3,na,na,2,Charming Kitten,na,IRN,na,na,na,na,3,na,2018,na,2,5,na,na,na,na,na,na,2,na,IRN,na,USA,na,na,1,2,na,na,3,1,2,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://blog.talosintelligence.com/2018/11/persian-stalker.html,na,na,Charming Kitten vs. Instagram and Telegram,Talos Intelligence reports several attacks on users of Instagram and Telegram. The Attacker used greyware of these applications to gain access to private information about his victims. 
979,2.1,10,2,na,2017,1,na,2017,12,na,1.1,3.6,5,8,na,na,na,na,na,na,NorthAmerica,ASIA,na,na,na,na,na,na,na,na,0,na,na,2.1,0,na,CHN,na,na,na,na,3,na,2018,na,2,5,na,na,na,na,na,na,2.1,na,CHN,na,USA,na,na,1,7,na,na,2,1,7,na,na,1,1,3,na,2,0,1,0,0,3,1,3,0,https://securityaffairs.co/wordpress/73927/APT /rancor-cyber-espionage.html https://unit42.paloaltonetworks.com/unit42-rancor-targeted-attacks-south-east-asia-using-plaintee-ddkong-malware-families/,https://www.phnompenhpost.com/national/kingdom-targeted-new-malware,na,"""Operation/Group Rancor""","The RANCOR APT  group has been targeting political entities in Singapore, Cambodia, and Thailand, and likely in other countries, using two previously unknown strain of malware. The two malware families were tracked as DDKONG and PLAINTEE. The group might be related to the Chinese-based group DragonOk."
980,2.1,3,0,na,2017,1,na,2017,12,na,1.2,na,na,na,na,na,na,na,na,na,DEU,na,na,na,na,na,na,na,na,na,1,na,na,2,Turla/Waterbug/Venomous Bear/Snake/Uroburos,na,RUS,na,na,na,na,3,na,2018,na,2,5,6,4,na,na,na,na,2.1,na,0,na,SVK,na,1,0,na,na,na,0,0,na,na,na,1,1,3,na,2,0,2,0,0,4,1,4,0,https://www.heise.de/newsticker/meldung/Bundeshack-Russische-Hackergruppe-Snake-soll-hinter-Angriff-stecken-3984930.html;  https://www.heise.de/newsticker/meldung/Bundeshack-Bundestagsabgeordnete-verlangen-umfassende-Aufklaerung-3984083.html       https://www.golem.de/news/bundeshack-hack-auf-bundesregierung-erfolgte-ueber-lernplattform-ilias-1803-133227.html       https://www.tagesschau.de/inland/faq-bundeshack-101~_origin-b4bd9e87-1c7e-45a3-baef-55b91b365162.html       https://taz.de/Bundeshack-und-Sicherheitsdiskurs/!5488675/        https://www.heise.de/newsticker/meldung/Bundeshack-Russische-Hackergruppe-Snake-soll-hinter-Angriff-stecken-3984930.html,https://www.welivesecurity.com/2018/08/22/turla-unique-outlook-backdoor/,na,"""Bundeshack""","The russia APT Turla attacked the German government, after Fancy Bear was the suspect at the beginning of the investigation."
981,2,10,2,na,2017,1,na,2017,12,na,1.1,1.2,1.3,1.7,1.9,3.8,5,7,8,na,MENA,AFRICA,PSE,GLOBAL,na,na,na,na,na,na,1,3,na,0,Gaza Cybergang,na,0,na,na,na,na,0,na,2018,na,2,5,na,na,na,na,na,na,0,na,0,na,RUS,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://www.zdnet.com/article/espionage-malware-snoops-for-passwords-mines-bitcoin-on-the-side/ ,https://www.cbc.ca/news/canada/montreal/emissary-panda-chinese-hackers-cyberattack-icao-1.5034177;  https://download.bitdefender.com/resources/files/News/CaseStudies/study/185/Bitdefender-Business-2017-WhitePaper-PZCHAO-crea2452-en-EN-GenericUse.pdf?adobe_mc=MCMID%3D81353798674868294900645340493449571262%7CMCORGID%3D0E920C0F53DA9E9B0A490D45%2540AdobeOrg%7CTS%3D1594802281;  https://securityaffairs.co/wordpress/68581/apt/operation-pzchao.html,na,"""Operation PZChao""","""Operation PZChao"" targets US and Asian organisations with cyber-attacks reminiscent of Iron Tiger - but this time with the ability to drop trojans, conduct espionage, and mine bitcoin. Researchers spectaculate that the same Chinese-based APT (APT27 aka Emissary Panda) as in the Iron Tiger operation takes part in the new project but this is not proven yet."
982,1,na,3,na,2017,1,na,2017,12,na,4.5,na,na,na,na,na,na,na,na,na,ISIS,na,na,na,na,na,na,na,na,na,3,na,na,1,GCHQ,na,GBR,na,na,na,na,1,na,2018,na,3,3,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,2,na,na,0,2,0,0,0,2,1,2,0,https://www.bbc.com/news/technology-43738953,na,na,UK starts cybercampaign against ISIS,The British governement initiated a cybercampaign against ISIS disrupting all of its actions within the Internet. Through 2017 ISIS was strongly prohibited in sharing ist propaganda over the web.
983,2.1,10,2,4,2017,1,na,2019,na,na,1.1,1.5,1.7,3.1,na,na,na,na,na,na,MEA,na,na,na,na,na,na,na,na,na,0,na,na,2,0,na,0,na,na,na,na,0,na,2019,na,2,5,5,3,na,na,na,na,2,na,0,na,USA,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://us-cert.cisa.gov/ncas/alerts/AA19-024Ahttps://blog.talosintelligence.com/2019/04/seaturtle.html; https://www.heise.de/ct/artikel/DNSpionage-Massive-Angriffe-auf-Mail-und-VPN-User-4333644.html,https://www.fireeye.com/blog/threat-research/2019/01/global-dns-hijacking-campaign-dns-record-manipulation-at-scale.html; https://www.heise.de/ct/artikel/DNSpionage-Massive-Angriffe-auf-Mail-und-VPN-User-4333644.html,na,Sea Turtle,"Unknown state-sponsored actors hijacked parts of the DNS-Infrastructure, allowing them to phish credentials of middle-eastern foreign offices and energy provides, before accessing confidential data"
984,1,10,2,na,2017,na,na,2018,na,na,1,1.5,2,na,na,na,na,na,na,na,EUROPE,LATAM,na,na,na,na,na,na,na,na,0,na,na,1,Sofacy/APT 28/Fancy Bear,na,RUS,na,na,na,na,3,na,2018,na,2,5,na,na,na,na,na,na,1,na,RUS,na,USA,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://symantec-enterprise-blogs.security.com/blogs/election-security/apt28-espionage-military-government,na,na,APT28 Intelligence Gathering,APT28 continued lowlevel intelligence gathering action between 2017 and 2018
985,3,na,1,na,2017,2,na,2017,2,na,1.1,1.5,na,na,na,na,na,na,na,na,SGP,na,na,na,na,na,na,na,na,na,2,na,na,2,0,na,0,na,na,na,na,0,na,2017,na,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://thediplomat.com/2017/03/singapore-reveals-cyber-attack-on-defense-ministry/,https://www.straitstimes.com/singapore/personal-data-of-850-mindef-servicemen-and-staff-leaked-due-targeted-planned-cyber-attack,na,Singapore Defense Ministry Hack,Singapore Reveals CyberAttack on Defense Ministry
986,1,4,0,6,2017,2,na,2017,3,na,1.1,1.5,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,1,0,na,RUS,na,na,na,na,3,na,2017,na,6,4,na,na,na,na,na,na,na,na,na,na,na,na,na,1,7,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://www.theverge.com/2017/5/18/15658300/russia-hacking-twitter-bots-pentagon-putin-election,http://time.com/4783932/inside-russia-social-media-war-america/,na,Pentagon-Twitter Attack,Russian hackers targeted Pentagon workers with malware-laced Twitter messages
987,10,na,2,na,2017,2,na,2017,12,na,1.1,3.1,3.6,na,na,na,na,na,na,na,SAU,USA,IQR,ISR,ARE,GEO,PAK,IND,TUR,na,1,2,3,0,Muddy Water,na,IRN,na,na,na,na,3,na,na,na,2,5,na,na,na,na,na,na,0,na,IRN,na,NLD,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://unit42.paloaltonetworks.com/unit42-muddying-the-water-targeted-attacks-in-the-middle-east/https://securityaffairs.co/wordpress/78586/apt/muddywater-powershell-backdoor.htmlhttps://www.reuters.com/article/us-saudi-cyber/saudi-agency-says-country-targeted-in-cyber-spying-campaign-idUSKBN1DK27M; https://reaqta.com/2017/11/muddywater-apt-targeting-middle-east/,na,na,Muddy Water,"Researchers from Palo Alto Networks' Unit 42 reveal the details of Muddy Water, a campaign carried on by a politically-motivated actor targeting Middle Eastern nations. Reaqta links the campaign to Iran as the geographical origin."
988,2.1,10,2,na,2017,2,na,2017,12,na,1.1,na,na,na,na,na,na,na,na,na,KHM,SGP,THA,na,na,na,na,na,na,na,2,3,na,2.1,Rancor,DragonOk,CHN,na,na,na,na,3,na,2018,na,2,5,na,na,na,na,na,na,2.1,na,CHN,na,USA,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://www.zdnet.com/article/hacking-operation-uses-malicious-word-documents-to-target-aid-organisations/ https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,na,na,"""Operation Honeybee""","McAfee Advanced Threat Research analysts have discovered a new operation targeting humanitarian aid organizations and using North Korean political topics as bait to lure victims into opening malicious Microsoft Word documents. The Analysts of McAfee have named this Operation Honeybee, based on the names of the malicious documents used in the attacks."
989,2.1,na,5,na,2017,2,3,2017,2,3,1.1,1.8,na,na,na,na,na,na,na,na,NOR,na,na,na,na,na,na,na,na,na,1,na,na,2,Cozy Bear/APT 29/The Dukes,na,RUS,na,na,na,na,3,na,2017,na,6,3,na,na,na,na,na,na,na,na,na,na,na,na,na,1,7,na,na,2,1,7,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://eu.usatoday.com/story/news/2017/02/03/norway-russian-hackers-hit-spy-agency-defense-labour-party/97441782/https://apnews.com/9aaf954bb24f4a289d4c399db7d71f8ehttps://www.bbc.com/news/world-europe-38859491,na,na,Russian hackergroup CozyBear vs. Norway,"Norway’s security service says nine emailaccounts—including those belonging to the Labourparty, the foreign ministry and defenseministry—have been targeted by hackers belonging APT 29."
990,4,na,3,na,2017,2,6,2017,2,6,1.8,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,0,0,na,USA,na,na,na,na,1,na,na,na,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://edition.cnn.com/2017/02/06/politics/45-committee-website-hacked/index.html,na,na,Defacement of the 45 Committe website,"The website of 45 Committee, a PAC supporting President Donald Trump, is defaced."
991,2.1,na,4,na,2017,2,6,2017,2,6,4.6,3.9,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,0,na,na,2,Charming Kitten,Newscaster/Newsbeef,IRN,na,na,na,na,3,na,2017,na,5,6,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://securityaffairs.co/wordpress/56095/intelligence/macdownloader-iranian-hackers.html,https://iranthreats.github.io/resources/macdownloader-macos-malware/,na,Charming Kitten hacks MacUsers,"Two security researchers reveal the details of a new campaign linked to Charming Kitten, a cyber espionage group linked to the Iranian Government using an unsophisticated strain of malware, dubbed MacDownloader, to steal credentials and other data from Mac computers."
